host,monitored_by,proxy.name,templates,groups,interface_type,ip,port,tags,assetId,assetName,assetType,cmdbStatus,csuId,csuName,customerId,customerName,enrichmentIssue,enrichmentStatus,l1Support,l1SupportName,l2Support,l2SupportName,monitoringAllowed,networkZone,offer,organization
f15lsqlsvc,PROXY,shinkencombo2,"Pre-Migration Agent Check by Zabbix agent - OB,Windows by NSCLIENT agent - OB,Windows service discovery by NSCLIENT agent - OB",name=SendToEventFederator;name=Shinken,,172.18.101.190,,tag=cmdb_id|value=DH00587156,,,,,,,,,,,,,,,,,,
grosso,PROXY,shinkencombo2,"Linux by Zabbix agent - OB,MySQL by Zabbix agent - OB,OS processes by Zabbix agent - OB,SQL check numeric monitoring by Database monitor - OB,SQL check text monitoring by Database monitor - OB",name=SendToEventFederator,,10.173.244.113,,tag=cmdb_id|value=DF001LF101,DF001LF101,grosso,Equipment,Operational,DO000LKVDD,MGB-DataBase,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,INS Application,INFORMATION SYSTEMS
hevea,PROXY,shinkencombo2,"Linux by NRPE agent - OB,Linux process discovery by NRPE agent - OB,Pre-Migration Agent Check by Zabbix agent - OB,Script discovery by NRPE or NSCLIENT agent - OB",name=SendToEventFederator;name=Shinken,,10.173.244.46,,tag=cmdb_id|value=DF002EBL4A,DF002EBL4A,hevea,Equipment,Operational,DO000TSQ8A,Elastic_Archiving,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
modo,PROXY,shinkencombo2,"Linux by Zabbix agent - OB,MySQL by Zabbix agent - OB,OS processes by Zabbix agent - OB,SQL check text monitoring by Database monitor - OB",name=SendToEventFederator,,10.173.244.114,,tag=cmdb_id|value=DF001LF202,DF001LF202,modo,Equipment,Operational,DO000LKVDD,MGB-DataBase,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,INS Application,INFORMATION SYSTEMS
PAKACIMBSDWAN01,PROXY,shinkencombo3,"VMware Datastores Spec by External check - OB,VMWare ESX by External check - OB",name=SendToEventFederator,,,,tag=cmdb_id|value=DF003Q8E38,DF003Q8E38,PAKACIMBSDWAN01,Equipment,Operational,DO0012M7BB,PF-CIMB-FlexSDWAN-Bangi-Compute,42135,CIMB BANK BERHAD,Status OK in CMDB,OK,ATQITB,ESC OPS SD L1 Monitoring CAI,ATQIDJ,OCB CSD CIS-PHCI IND L2 PHOENIX,true,Cesson_Default,Cloud Infra Platform-PHCI,PRIVATE AND HYBRID CLOUD INFRASTRUCTURE
PAKACIMBSDWAN02,PROXY,shinkencombo1,"VMware Datastores Spec by External check - OB,VMWare ESX by External check - OB",name=SendToEventFederator,,,,tag=cmdb_id|value=DF003Q8F3B,DF003Q8F3B,PAKACIMBSDWAN02,Equipment,Operational,DO0012M7BB,PF-CIMB-FlexSDWAN-Bangi-Compute,42135,CIMB BANK BERHAD,Status OK in CMDB,OK,ATQITB,ESC OPS SD L1 Monitoring CAI,ATQIDJ,OCB CSD CIS-PHCI IND L2 PHOENIX,true,Cesson_Default,Cloud Infra Platform-PHCI,PRIVATE AND HYBRID CLOUD INFRASTRUCTURE
pmsesxrns08,PROXY,shinkencombo2,"VMware Datastores Spec by External check - OB,VMWare ESX by External check - OB",name=SendToEventFederator,,,,tag=cmdb_id|value=DF001N7L73,DF001N7L73,pmsesxrns08,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD SQD EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
pmsesxrns09,PROXY,shinkencombo2,"VMware Datastores Spec by External check - OB,VMWare ESX by External check - OB",name=SendToEventFederator,,,,tag=cmdb_id|value=DF001N7M72,DF001N7M72,pmsesxrns09,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD SQD EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
pmsvcenter01,PROXY,shinkencombo2,VMware Vcenter Core by Script - OB,name=SendToEventFederator,,,,tag=cmdb_id|value=DF003PGD3C,DF003PGD3C,pmsvcenter01,Equipment,Operational,DO0003W9B3,Capacity Management PF (BCO),675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD SQD EGY L2 MON,true,Cesson_Default,INS Application,INFORMATION SYSTEMS
PSTRCIMBSDWAN01,PROXY,shinkencombo2,"VMware Datastores Spec by External check - OB,VMWare ESX by External check - OB",name=SendToEventFederator,,,,tag=cmdb_id|value=DF003Q8D39,DF003Q8D39,PSTRCIMBSDWAN01,Equipment,Operational,DO0012MCCF,PF-CIMB-FlexSDWAN-Strateq-Compute,42135,CIMB BANK BERHAD,Status OK in CMDB,OK,ATQITB,ESC OPS SD L1 Monitoring CAI,ATQIDJ,OCB CSD CIS-PHCI IND L2 PHOENIX,true,Cesson_Default,Cloud Infra Platform-PHCI,PRIVATE AND HYBRID CLOUD INFRASTRUCTURE
shinkencombointernet1,PROXY,shinkencombo1,"Linux by Zabbix agent - OB,Remote Zabbix proxy health by Zabbix internal - OB",name=Linux servers;name=SendToEventFederator;name=zabbixcomboproxies,,10.173.244.185,,tag=cmdb_id|value=DF001SWP21,DF001SWP21,shinkencombointernet1,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
shinkencombointernet2,PROXY,shinkencombo1,"Linux by Zabbix agent - OB,Remote Zabbix proxy health by Zabbix internal - OB",name=Linux servers;name=SendToEventFederator;name=zabbixcomboproxies,,10.173.244.186,,tag=cmdb_id|value=DF001SWQ20,DF001SWQ20,shinkencombointernet2,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
shinkenmaster1,PROXY,shinkencombo2,"File monitoring by Zabbix agent - OB,Linux by Zabbix agent - OB,OS processes by Zabbix agent - OB",name=SendToEventFederator,,10.173.244.36,,tag=cmdb_id|value=DF002EB630,DF002EB630,shinkenmaster1,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
shinkenmaster2,PROXY,shinkencombo2,"File monitoring by Zabbix agent - OB,Linux by Zabbix agent - OB,OS processes by Zabbix agent - OB",name=SendToEventFederator,,10.173.244.19,,tag=cmdb_id|value=DF002EB731,DF002EB731,shinkenmaster2,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
shinkenmaster3,PROXY,shinkencombo2,"File monitoring by Zabbix agent - OB,Linux by Zabbix agent - OB,OS processes by Zabbix agent - OB",name=SendToEventFederator,,10.173.244.27,,tag=cmdb_id|value=DF002EB83E,DF002EB83E,shinkenmaster3,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
shinkenmaster6,PROXY,shinkencombo1,"File monitoring by Zabbix agent - OB,Linux by Zabbix agent - OB,OS processes by Zabbix agent - OB",name=SendToEventFederator,,10.173.244.30,,tag=cmdb_id|value=DF002EBB44,DF002EBB44,shinkenmaster6,Equipment,Operational,DO0003HXD2,OCB-Monitoring,675409,ORANGE OCB INFORMATION SYSTEM,Status OK in CMDB,OK,ATQFLX,OCB CSD CSS-FE EGY L1 SD,ATQIQM,OCB CSD INS EGY L2 MON,true,Cesson_Default,Cloud Infra Platform-SQD,SQUAD
